file,id,successful_simulation,study,n_total,n_trt,n_ctl,events_trt,events_ctl,or,or_lb,or_ub,or_pval,yi,vi,sei,theta_true,re_mean,re_mean_lb,re_mean_ub,re_mean_pval,het_I2,het_pval,cc_applied,tier,source,n_studies,sample_sizes,effect_sizes,heterogeneity,stat_sig_re
design_1,1,TRUE,1,750,375,375,136,83,2.00191561223975,1.45061933483198,2.76272763108693,2.40631298448799e-05,0.694104528276225,0.0270098919002115,0.164346864588928,0.838906484821744,0.580206246048297,0.306736825142769,1.09748572834961,0.0941453737458488,61.5365822349661,0.000909311149187894,FALSE,1,base,15,mix,0.5,large,no
design_1,1,TRUE,2,80,40,40,8,9,0.861111111111111,0.294532290985469,2.51759269993114,0.784715014482382,-0.149531733970964,0.29961917562724,0.547374803610141,-0.8174303148674,0.580206246048297,0.306736825142769,1.09748572834961,0.0941453737458488,61.5365822349661,0.000909311149187894,FALSE,1,base,15,mix,0.5,large,no
design_1,1,TRUE,3,80,40,40,3,9,0.279279279279279,0.0694876669181298,1.12245696673986,0.07230388466253,-1.27554299682719,0.503729535987601,0.70973906190064,-0.822839876276636,0.580206246048297,0.306736825142769,1.09748572834961,0.0941453737458488,61.5365822349661,0.000909311149187894,FALSE,1,base,15,mix,0.5,large,no
design_1,1,TRUE,4,80,40,40,0,6,0.0655270655270655,0.00356227946556834,1.20535077556115,0.0666157053645287,-2.72529200753672,2.20752301911722,1.48577354233989,-2.44772253000425,0.580206246048297,0.306736825142769,1.09748572834961,0.0941453737458488,61.5365822349661,0.000909311149187894,TRUE,1,base,15,mix,0.5,large,no
design_1,1,TRUE,5,80,40,40,1,7,0.120879120879121,0.0141374991995356,1.03354643266676,0.0536281759582987,-2.11296423371848,1.1988011988012,1.09489780290272,-1.08326511668652,0.580206246048297,0.306736825142769,1.09748572834961,0.0941453737458488,61.5365822349661,0.000909311149187894,FALSE,1,base,15,mix,0.5,large,no
design_1,1,TRUE,6,80,40,40,2,4,0.473684210526316,0.0816969270836701,2.74645252044968,0.404685771026125,-0.747214401830221,0.804093567251462,0.896712644748284,-0.793638798006742,0.580206246048297,0.306736825142769,1.09748572834961,0.0941453737458488,61.5365822349661,0.000909311149187894,FALSE,1,base,15,mix,0.5,large,no
design_1,1,TRUE,7,80,40,40,10,8,1.33333333333333,0.464389183745873,3.82820668525869,0.592928984266239,0.287682072451781,0.289583333333333,0.538129476365431,0.0709040110034859,0.580206246048297,0.306736825142769,1.09748572834961,0.0941453737458488,61.5365822349661,0.000909311149187894,FALSE,1,base,15,mix,0.5,large,no
design_1,1,TRUE,8,80,40,40,4,8,0.444444444444444,0.122191002182403,1.61657454861253,0.218358201631481,-0.810930216216329,0.434027777777778,0.658807845868412,-1.12920779346333,0.580206246048297,0.306736825142769,1.09748572834961,0.0941453737458488,61.5365822349661,0.000909311149187894,FALSE,1,base,15,mix,0.5,large,no
design_1,1,TRUE,9,30,15,15,0,3,0.115207373271889,0.00542657087375103,2.44587957385948,0.165676611396905,-2.16102152867226,2.43023041474654,1.55891963062454,-1.32836945023592,0.580206246048297,0.306736825142769,1.09748572834961,0.0941453737458488,61.5365822349661,0.000909311149187894,TRUE,1,base,15,mix,0.5,large,no
design_1,1,TRUE,10,30,15,15,0,2,0.174193548387097,0.00767037453154572,3.95592055836328,0.272711853048482,-1.74758825091492,2.53859020310633,1.59329539103907,-1.80874648321429,0.580206246048297,0.306736825142769,1.09748572834961,0.0941453737458488,61.5365822349661,0.000909311149187894,TRUE,1,base,15,mix,0.5,large,no
